,score,popularity,genre
0,7.63,231,"Comedy, Supernatural, Romance, Shounen"
1,7.89,366,"Comedy, Parody, Romance, School, Shounen"
2,7.55,1173,"Comedy, Magic, School, Shoujo"
3,8.21,916,"Comedy, Drama, Magic, Romance, Fantasy"
5,8.03,1630,"Kids, School, Shoujo"
8,8.24,988,"Music, Slice of Life, Comedy, Romance, Josei"
9,8.34,69,"Comedy, Harem, Romance, School, Shoujo"
10,8.15,799,"Comedy, Drama, Romance, Shounen Ai"
12,8.23,945,"Comedy, Drama, Romance, Shounen Ai"
15,7.53,188,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
17,8.18,20,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
18,7.85,623,"Slice of Life, Comedy, Martial Arts, Fantasy"
19,8.39,13,"Slice of Life, Comedy, Romance, School"
20,8.49,374,"Comedy, Drama, Romance, Shounen"
21,7.77,1291,"Comedy, School, Shoujo, Super Power"
22,8.24,488,"Comedy, Drama, Romance, Shoujo"
23,8.47,757,"Drama, Game, Josei, School, Slice of Life, Sports"
24,7.68,1793,"Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo"
25,8.29,348,"Drama, Game, Josei, School, Slice of Life, Sports"
26,7.7,473,"Comedy, Romance, Shoujo"
27,8.02,208,"Action, Comedy, Demons, Supernatural, School, Shounen"
30,7.1,285,"Comedy, Romance, Ecchi, School, Seinen"
31,7.73,1937,"Slice of Life, Comedy, Ecchi, School, Seinen"
33,8.04,1313,"Adventure, Fantasy, Comedy, Romance, Historical, Drama"
34,8.54,35,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
35,8.18,2523,"Drama, Shoujo"
36,7.64,297,"Action, Comedy, Ecchi, Shounen, Sports"
37,8.16,2233,"Adventure, Comedy, Drama, Fantasy, Historical, Romance"
39,6.3,1858,"Ecchi, Comedy, School, Seinen"
40,8.34,995,"Comedy, Josei, Music, Romance"
41,7.92,527,"Comedy, Horror, Mystery, Shoujo, Supernatural"
42,7.53,103,"Action, Game, Sci-Fi, Romance, School"
43,8.32,172,"Comedy, Drama, Romance, Shounen"
44,8.41,381,"Music, Slice of Life, Comedy, Drama, Romance, Josei"
45,8.14,259,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo"
46,8.21,292,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo"
49,8.07,701,"Comedy, Drama, Romance, Shounen Ai"
50,6.49,3214,"Comedy, Romance, School, Sci-Fi, Slice of Life"
52,7.63,1138,"Comedy, Drama, Harem, Magic, Music, Romance, School, Shoujo"
53,7.92,795,"Action, Adventure, Super Power, Demons, Shounen"
54,7.4,2044,"Action, Mystery, Horror, Psychological"
55,8.13,1016,"Action, Adventure, Fantasy, Magic, Supernatural"
57,3.44,10123,Comedy
59,6.15,3977,Comedy
61,7.42,4119,Comedy
63,5.91,2963,"Action, Samurai"
64,8.01,637,"Game, Mystery, Psychological, Drama, Thriller"
65,6.86,9003,"Game, Fantasy"
66,6.41,1025,"Action, Adventure, Ecchi, Shounen"
68,5.2,2533,"Ecchi, Fantasy"
69,6.65,2146,Comedy
70,5.92,8668,"Comedy, Seinen"
71,5.63,6716,"Action, Sci-Fi, Space"
73,6.95,2600,"Adventure, Drama, Magic, Sci-Fi"
74,8.14,183,"Comedy, Music, School, Slice of Life"
75,6.93,2808,"Drama, Romance, Yaoi"
76,7.13,4395,"Adventure, Comedy, Fantasy, Kids"
77,7.47,1826,"Comedy, Slice of Life"
81,7.88,468,"Sci-Fi, Space, Comedy"
84,6.47,5092,"Music, Comedy"
85,6.49,7015,Hentai
86,7.17,4822,"Adventure, Drama, Fantasy"
87,7.69,347,"Action, Sci-Fi, Fantasy"
90,8.85,1724,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
92,7.27,1035,"Comedy, Seinen, Slice of Life"
93,6.66,10281,"Comedy, Slice of Life"
94,7.7,4512,"Drama, School"
95,7.36,856,"Game, Psychological"
97,6.05,11377,"Comedy, Super Power"
98,7.94,1690,"Comedy, Seinen, Slice of Life"
99,7.12,2509,"Action, Demons, Horror, Supernatural"
100,5.97,8226,"Action, Drama, Fantasy, Sci-Fi, Space"
101,7.73,1064,"Mystery, Police, Drama, Fantasy, Seinen"
102,7.2,1135,"Adventure, Mystery, Seinen"
103,6.84,5286,"Comedy, Kids"
104,7.85,949,"Adventure, Comedy, Demons, Magic, Fantasy"
107,6.82,1842,"Adventure, Slice of Life, Comedy"
108,7.56,3031,"Action, Fantasy, Hentai"
109,7.71,922,"Action, Mystery, Historical"
110,6.78,2572,"Comedy, Supernatural, Vampire"
111,6.57,7323,Music
112,7.0,3394,"Supernatural, Demons, Historical"
113,7.63,479,"Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School"
115,5.43,10531,"Mystery, Shoujo"
116,8.08,19,"Action, Adventure, Comedy, Magic, Fantasy, Shounen"
117,5.09,7208,"Action, Super Power, Kids"
118,6.93,2514,"Comedy, Josei, Slice of Life"
119,7.5,3193,Hentai
120,6.85,5915,Hentai
121,7.18,4616,"Comedy, Parody, School"
122,5.66,2460,"Comedy, Ecchi, Fantasy"
125,5.72,3880,Slice of Life
126,6.72,2820,"Action, Comedy, Hentai, Sci-Fi"
